,TY_US10Y,RX_BUND,G_GILT,OAT_FRANCE,SP500,NASDAQ100,DOWJONES,RUSSELL2000,DAX,CAC40,EUROSTOXX50,FTSE100,NIKKEI225,HANGSENG,ASX200,VIX,EURUSD,GBPUSD,AUDUSD,NZDUSD,USDJPY,USDCHF,USDCAD,USDNOK,USDSEK,EURGBP,EURJPY,GBPJPY,AUDJPY,EURCHF,GOLD,SILVER,PLATINUM,COPPER,WTI_CRUDE,BRENT_CRUDE,NAT_GAS,ZINC,LEAD
EUROSTOXX50,-0.14604383833895163,-0.06302483977881491,-0.005749563787369287,0.0454738363586727,0.6883922088147275,0.5988828491889983,0.6919838847472028,0.6936737198578337,0.9650195917453851,0.9762529689364481,1.0,0.8292267021056933,0.6634127973391426,0.49565716440145463,0.6045691874338819,-0.6264044272452082,0.028120115059805585,0.16457205411573175,0.31342943048601146,0.23062272618703,0.16638185210732492,0.028790381244238324,-0.2562597502212802,-0.12387870914097655,-0.19236044635941163,-0.18715781040615279,0.1976771061316979,0.27739147855117996,0.41975187304029826,0.06469853501213171,0.03575263450663397,0.2234629068699095,0.2766889827384502,0.29160767205976185,0.2368425815611452,0.2774734988725567,0.02897795329243919,0.23611834985631985,0.19547915182840248
FTSE100,-0.1084994647002271,-0.019710304021146433,0.05153108984282379,0.023324354820865405,0.6551618815273681,0.5205743912491577,0.6831987662205188,0.6725554358449057,0.8082909532521287,0.8348547726674974,0.8292267021056933,1.0,0.5790161898637517,0.48019763847658664,0.6271835469875051,-0.613361010346162,0.01237545484790435,-0.007730853729624776,0.3095510761035144,0.19548961475549695,0.13251655123484304,0.04928382343534381,-0.2577683615023272,-0.08121957564904621,-0.14553803180501518,0.02572749521141112,0.1453981119512611,0.1024735480494889,0.3935976464454945,0.08084914839389913,0.10711571513416537,0.2648173181034009,0.3361579969447068,0.30268376771897193,0.3183101596276499,0.35229047803246394,0.03132391730336928,0.2522371101048238,0.19319661311758798
NIKKEI225,-0.15085994443152062,-0.0664386371608026,-0.05258233842797683,0.00512178313518259,0.6240024287809147,0.5709899351093966,0.6062522752375709,0.5937076412099443,0.6559683740806426,0.6589113581626775,0.6634127973391426,0.5790161898637517,1.0,0.4903364083185148,0.5869562899907003,-0.494979705716866,0.05949891897792088,0.2359218889204811,0.3556443329225601,0.22461644277723156,0.3456677995824222,0.09690157326444768,-0.2777098865650292,-0.012657792336249822,-0.15541142078997214,-0.24610200781750083,0.4142725508723597,0.4859341660764505,0.6038961092594408,0.1826433154997485,0.001713164393367069,0.16915487104003657,0.24757388751143283,0.29900919167458645,0.21167970772715375,0.22703721163011045,0.12531268860854047,0.24831216561460875,0.2114970898917746
HANGSENG,-0.03145242065859874,-0.06187924542508252,-0.04466221191784504,-0.036949876915916266,0.41427503634254775,0.3950337025084034,0.39220577590022376,0.3984659078635128,0.47881971703545684,0.491252873669096,0.49565716440145463,0.48019763847658664,0.4903364083185148,1.0,0.4188604762140619,-0.39393335029920706,0.23032808739577354,0.2894686716521577,0.47681932792443055,0.368978569442994,-0.006323737000096272,-0.10240613514411641,-0.3770843493068433,-0.2086623185703014,-0.34197094972783965,-0.1332401643763519,0.19896241175537593,0.2427574332881763,0.42667209291958763,0.10523639039056243,0.14779782869213906,0.2489594421584657,0.2994837139669852,0.4282074673583276,0.20932493458392787,0.22564265440048653,0.1265892445231803,0.39138634198053,0.2922055721654192
ASX200,-0.033897972099553926,0.09399371283666938,0.06713279145931088,0.09131678805261774,0.6665110953103506,0.574027582145799,0.6645989745953582,0.6450639388304844,0.6038565844541162,0.5983782856409401,0.6045691874338819,0.6271835469875051,0.5869562899907003,0.4188604762140619,1.0,-0.5233012949287487,0.07539655356500578,0.2596065200133709,0.32907517412165055,0.2288929547955781,0.047667049760995804,0.016468574813990233,-0.321609130983375,-0.045620647165464635,-0.17069713901521955,-0.25755890961879246,0.11572827443114214,0.2605748014567061,0.3389700206571359,0.10200960896616527,0.09194712122769204,0.24276985601338508,0.2936260648585415,0.30404784790969436,0.3882378036905605,0.4100821991411745,0.07172330387289004,0.2556568949804998,0.20789434532743897
VIX,0.16198336262004548,0.07375851952092426,0.021920278448026635,0.03452555620630029,-0.7384306511888861,-0.7145360375661995,-0.6895193754913541,-0.6699888696724079,-0.626752657396984,-0.6091885658204623,-0.6264044272452082,-0.613361010346162,-0.494979705716866,-0.39393335029920706,-0.5233012949287487,1.0,-0.045655348821846124,-0.10220232411370059,-0.26079418385928366,-0.17581080745767477,-0.11946238827827495,-0.07949099255029961,0.21289305608250392,0.13620792451037725,0.15524307427527725,0.08600963462795058,-0.16343046350194373,-0.18513544660456452,-0.333740924623259,-0.1468901314655378,0.009538175694595346,-0.1885172544431305,-0.23232404291171635,-0.3227810448354673,-0.2574850483733861,-0.2648021420231655,-0.07434424774702462,-0.2479512550294979,-0.18307684736847607
EURUSD,0.14217151965581515,-0.025250246440812925,0.06658986783167008,-0.010943214827802727,0.22071271359439223,0.17436763435249078,0.21986021445172665,0.21250139384192435,0.03308085686817632,0.040813734770802676,0.028120115059805585,0.01237545484790435,0.05949891897792088,0.23032808739577354,0.07539655356500578,-0.045655348821846124,1.0,0.6684561336855344,0.6274299995394211,0.6272703270937121,-0.47491736914189375,-0.6324780719027909,-0.5682085841995389,-0.26814315413272566,-0.7978816361444553,0.20090932012368273,0.3915421118885477,0.1786389500388644,0.1799999016156214,0.22356688339830832,0.3336341332030186,0.29637176877712995,0.3006892785347816,0.2807460051558083,0.05765723341695657,0.03797624349652616,0.010099929586270148,0.19585852043903387,0.2286749589884944
GBPUSD,0.09438811869223847,0.06316296015496631,0.004813264069720428,0.046557367867658565,0.31102755908691576,0.2514995195828808,0.3094102853792461,0.297748028510464,0.19120130102302677,0.16643127252972356,0.16457205411573175,-0.007730853729624776,0.2359218889204811,0.2894686716521577,0.2596065200133709,-0.10220232411370059,0.6684561336855344,1.0,0.5967547549380593,0.5700536046332767,-0.2869643845893147,-0.44922774304410446,-0.5355296078140325,-0.1494510682138529,-0.6104645706600083,-0.593636893764473,0.2964045310589866,0.615774261648632,0.30174838725709613,0.11433426326904102,0.25091421456275836,0.2699035787216825,0.28494632539560005,0.28374635042117635,0.15352213247550928,0.15678578738421536,0.04422559834493685,0.21622816524850327,0.21668854963849485
AUDUSD,0.07955722313025572,0.02784600558335283,0.10159838213343418,0.03366763754513542,0.455108918628921,0.37240247241115904,0.45215930728418163,0.46809496494659913,0.3277998369533355,0.31255893086692754,0.31342943048601146,0.3095510761035144,0.3556443329225601,0.47681932792443055,0.32907517412165055,-0.26079418385928366,0.6274299995394211,0.5967547549380593,1.0,0.8339870100070393,-0.33014125643408554,-0.472777338698487,-0.7489543448319851,-0.25840137053353995,-0.6679305042871468,-0.10881550656373438,0.2130032786141762,0.2376307854183054,0.6335844811130128,0.04318097240305449,0.34727374781836867,0.42375372374631987,0.4236027655856836,0.4286951650455944,0.20867913731605484,0.2108329796033157,0.10599792311737523,0.3697172384196079,0.3350804576170272
NZDUSD,0.13667361675618875,0.06553893892644624,0.12628800464156034,0.06908550695376502,0.3578055637534383,0.29008306912508797,0.3496887001781932,0.36636850210233446,0.2373486313280213,0.23435988102505897,0.23062272618703,0.19548961475549695,0.22461644277723156,0.368978569442994,0.2288929547955781,-0.17581080745767477,0.6272703270937121,0.5700536046332767,0.8339870100070393,1.0,-0.4019248287432769,-0.48323239156790376,-0.6692725808807732,-0.2443394215270457,-0.6544276592310007,-0.07225239519784164,0.13770674719690704,0.15551676759927954,0.4255871679962057,0.03146007707981957,0.32542541104642964,0.37065425088794945,0.35871213826878295,0.3655014300797773,0.13691911070565302,0.13721189830715413,0.07107452868787591,0.3295399005158118,0.2853844717007129
