Date,TY_US10Y,RX_BUND,G_GILT,OAT_FRANCE,ZINC,LEAD
2018-01-19,122.28125,160.66,123.6,154.55,3435.0,2591.75
2018-01-26,122.0625,159.79,122.63,153.73,3501.5,2602.5
2018-02-02,120.734375,157.87,121.34,152.32,3531.25,2699.75
2018-02-09,121.171875,158.04,121.12,152.62,3409.0,2538.0
2018-02-16,120.578125,158.61,121.28,153.02,3597.0,2616.0
2018-02-23,120.734375,159.48,121.95,153.57,3517.75,2533.0
2018-03-02,120.796875,159.77,122.59,153.94,3361.0,2447.25
2018-03-09,120.65625,156.98,122.23,152.01,3276.25,2376.75
2018-03-16,120.96875,158.19,122.91,153.09,3262.5,2384.0
2018-03-23,120.609375,158.87,122.84,153.96,3219.5,2341.5
2018-03-30,121.140625,159.43,122.82,154.59,3281.0,2399.0
2018-04-06,121.015625,159.5,122.44,154.46,3233.5,2395.75
2018-04-13,120.484375,159.34,122.05,154.34,3106.5,2305.0
2018-04-20,119.546875,158.13,121.52,153.36,3232.5,2365.75
2018-04-27,119.5,158.66,121.93,153.75,3127.5,2350.25
2018-05-04,119.703125,159.08,122.56,153.97,3049.0,2317.5
2018-05-11,119.40625,158.85,122.1,153.84,3064.5,2333.5
2018-05-18,118.84375,158.67,121.59,153.32,3106.5,2327.5
2018-05-25,119.859375,161.02,123.32,154.97,3055.5,2437.25
2018-06-01,120.171875,161.46,123.86,155.12,3107.75,2441.25
2018-06-08,119.921875,160.4,122.77,151.62,3223.5,2452.75
2018-06-15,119.890625,161.16,123.55,153.56,3119.25,2391.0
2018-06-22,119.828125,162.1,123.63,153.89,2937.5,2418.0
2018-06-29,120.1875,162.55,123.06,154.54,2891.5,2411.75
2018-07-06,120.34375,162.82,123.28,154.85,2763.0,2332.25
2018-07-13,120.359375,162.98,123.2,155.13,2596.0,2184.25
2018-07-20,119.984375,162.53,123.62,154.41,2588.0,2127.0
2018-07-27,119.4375,162.07,123.14,154.09,2605.5,2136.0
2018-08-03,119.609375,162.05,122.74,153.66,2645.0,2109.25
2018-08-10,120.375,163.34,123.56,154.65,2542.0,2083.5
2018-08-17,120.25,163.67,123.75,154.85,2396.5,1980.0
2018-08-24,120.515625,163.09,123.33,154.59,2548.0,2079.0
2018-08-31,120.390625,163.27,123.21,154.61,2464.25,2064.5
2018-09-07,119.796875,159.95,122.99,152.14,2420.5,2061.0
2018-09-14,119.359375,159.17,122.34,151.59,2317.0,2030.0
2018-09-21,118.671875,159.0,122.05,151.41,2502.75,2035.0
2018-09-28,118.78125,158.79,120.94,151.05,2649.5,2025.75
2018-10-05,117.671875,157.61,119.72,150.02,2669.5,1981.25
2018-10-12,118.34375,158.53,120.46,150.39,2676.0,2069.0
2018-10-19,117.953125,159.4,121.13,150.86,2676.5,1989.0
2018-10-26,119.03125,160.87,123.09,152.18,2699.0,1994.25
2018-11-02,118.046875,159.63,121.84,151.51,2601.5,1978.25
2018-11-09,118.125,160.03,121.82,151.58,2585.0,1962.0
2018-11-16,119.15625,160.65,122.72,151.97,2685.0,1988.25
2018-11-23,119.28125,161.1,123.1,152.53,2569.5,1956.25
2018-11-30,119.546875,161.54,123.42,153.09,2595.0,1968.0
2018-12-07,120.765625,163.17,124.14,151.08,2649.0,1988.75
2018-12-14,120.453125,163.2,124.42,150.73,2564.0,1942.0
2018-12-21,121.03125,163.36,123.6,150.79,2515.5,1969.5
2018-12-28,121.625,163.54,123.3,150.8,2457.0,2060.0
2019-01-04,122.296875,163.97,123.16,151.06,2466.0,1942.75
2019-01-11,121.953125,164.41,122.9,151.57,2498.0,1989.25
2019-01-18,121.171875,164.07,122.4,151.66,2599.5,1998.75
2019-01-25,121.40625,165.07,122.79,152.41,2691.5,2113.0
2019-02-01,121.9375,165.5,123.33,152.75,2797.5,2121.5
2019-02-08,122.375,166.75,124.35,153.2,2707.0,2068.25
2019-02-15,122.046875,166.47,124.08,153.17,2651.5,2066.5
2019-02-22,122.140625,166.62,124.22,153.5,2745.5,2068.75
2019-03-01,121.4375,165.22,123.07,152.72,2814.5,2137.0
2019-03-08,122.515625,164.39,124.09,160.47,2722.5,2078.5
2019-03-15,122.703125,164.14,123.92,160.59,2828.5,2045.5
2019-03-22,124.03125,165.74,125.75,162.26,2846.0,2022.5
2019-03-29,124.21875,166.34,129.37,162.67,2974.75,2008.0
2019-04-05,123.59375,165.36,128.01,162.08,2974.0,1969.0
2019-04-12,123.09375,164.62,126.89,161.42,3011.0,1907.25
2019-04-19,123.140625,165.22,127.14,162.02,2816.0,1931.0
2019-04-26,123.671875,165.82,127.75,162.23,2839.5,1945.0
2019-05-03,123.34375,165.26,126.93,162.05,2853.0,1890.75
2019-05-10,123.984375,166.25,127.95,162.45,2739.5,1807.75
2019-05-17,124.484375,167.06,128.92,163.27,2667.5,1819.75
2019-05-24,124.890625,167.24,129.91,163.37,2664.0,1822.25
2019-05-31,126.375,168.34,130.6,164.42,2630.0,1801.5
2019-06-07,126.890625,171.72,131.57,163.72,2575.0,1843.0
2019-06-14,126.9375,171.78,131.19,163.55,2561.0,1873.0
2019-06-21,127.515625,172.07,131.13,164.05,2489.5,1905.0
2019-06-28,127.96875,172.74,130.3,164.87,2545.0,1925.5
2019-07-05,127.46875,173.18,131.38,165.88,2408.0,1858.5
2019-07-12,127.109375,171.68,130.41,164.03,2447.75,1974.0
2019-07-19,127.53125,173.39,131.49,165.73,2421.5,2050.0
2019-07-26,127.21875,174.21,132.08,166.47,2439.0,2061.25
2019-08-02,128.859375,175.82,133.49,167.8,2348.5,1950.0
2019-08-09,129.6875,177.16,134.28,168.34,2230.0,2076.75
2019-08-16,130.921875,178.6,134.54,170.13,2250.0,2038.5
2019-08-23,130.953125,178.54,134.21,169.78,2259.5,2075.0
2019-08-30,131.046875,179.1,135.26,170.4,2209.0,2017.25
2019-09-06,130.734375,177.7,135.08,169.16,2336.25,2077.5
2019-09-13,128.078125,172.44,132.13,168.76,2384.0,2095.5
2019-09-20,129.6875,173.47,133.61,169.42,2313.0,2117.75
2019-09-27,130.390625,174.21,134.08,170.29,2349.5,2062.75
2019-10-04,131.90625,174.49,134.9,170.35,2338.5,2164.5
2019-10-11,129.875,172.39,131.8,168.7,2456.5,2177.25
2019-10-18,130.03125,171.49,131.75,168.01,2491.0,2192.0
2019-10-25,129.53125,171.35,132.36,167.97,2555.0,2234.5
2019-11-01,130.015625,171.42,132.3,167.92,2580.0,2168.25
2019-11-08,128.390625,169.69,130.97,166.45,2519.5,2111.5
2019-11-15,129.140625,170.85,131.77,167.29,2409.5,1983.25
2019-11-22,129.453125,171.24,132.0,167.65,2329.25,1961.0
2019-11-29,129.296875,171.07,132.05,167.6,2296.0,1929.0
2019-12-06,128.90625,170.53,131.31,166.72,2245.5,1878.5
2019-12-13,129.09375,172.1,130.9,164.33,2252.0,1892.75
2019-12-20,128.25,171.54,131.13,163.76,2348.0,1929.5
2019-12-27,128.65625,171.61,131.32,163.82,2314.25,1931.5
2020-01-03,129.390625,172.12,132.23,164.25,2321.0,1903.25
2020-01-10,129.078125,171.35,131.77,163.95,2387.5,1913.75
2020-01-17,129.046875,171.61,133.45,164.01,2442.75,1978.25
2020-01-24,130.28125,173.28,134.35,165.64,2347.0,1949.0
2020-01-31,131.65625,175.04,134.94,167.22,2209.0,1896.0
2020-02-07,131.078125,174.18,134.3,166.59,2142.5,1823.0
2020-02-14,130.984375,174.48,133.72,166.97,2134.75,1896.75
2020-02-21,131.859375,174.93,134.49,167.52,2101.5,1825.75
2020-02-28,134.84375,177.46,136.17,168.71,2013.0,1847.0
2020-03-06,138.046875,179.44,139.01,169.61,1967.0,1842.5
2020-03-13,135.796875,174.17,136.8,167.21,1972.0,1727.25
2020-03-20,136.5,170.42,134.84,165.25,1845.5,1653.25
2020-03-27,138.265625,172.56,136.91,167.94,1872.0,1700.5
2020-04-03,139.140625,172.06,136.72,165.89,1874.0,1646.25
2020-04-10,138.25,170.9,136.7,165.54,1886.75,1703.0
2020-04-17,138.890625,172.85,136.94,166.9,1954.0,1665.25
2020-04-24,139.109375,172.76,137.06,166.77,1874.75,1599.75
2020-05-01,138.875,174.43,137.35,168.83,1906.49,1611.5
2020-05-08,138.953125,173.77,137.69,167.83,2001.0,1627.5
2020-05-15,139.328125,173.74,137.82,167.68,1965.5,1580.5
2020-05-22,139.15625,173.12,138.51,167.92,1985.75,1637.75
2020-05-29,139.375,172.46,138.4,168.44,1990.75,1660.5
2020-06-05,137.546875,169.86,136.23,166.87,2047.75,1761.0
2020-06-12,139.109375,175.57,138.07,166.38,1966.75,1741.0
2020-06-19,139.15625,175.68,137.76,167.02,2078.4,1774.5
2020-06-26,139.21875,176.7,138.52,167.71,2031.5,1780.75
2020-07-03,139.09375,176.02,137.43,167.41,2016.5,1769.5
2020-07-10,139.21875,176.63,137.88,167.89,2183.75,1842.5
2020-07-17,139.359375,176.27,137.76,167.89,2176.25,1805.5
2020-07-24,139.578125,176.09,137.9,167.85,2217.5,1807.75
2020-07-31,140.078125,177.52,138.55,168.75,2311.5,1867.5
2020-08-07,139.953125,177.17,137.97,168.96,2392.25,1899.75
2020-08-14,139.125,175.76,136.71,167.73,2348.0,1937.5
2020-08-21,139.5625,177.1,137.16,168.77,2439.85,1957.85
2020-08-28,139.25,175.68,135.95,167.6,2498.25,1952.5
2020-09-04,139.203125,176.78,136.67,168.59,2459.0,1952.0
2020-09-11,139.765625,173.96,137.49,167.73,2448.75,1861.0
2020-09-18,139.609375,174.07,137.53,168.24,2524.25,1896.9
2020-09-25,139.640625,174.67,137.47,168.68,2357.75,1817.0
2020-10-02,139.4375,174.66,135.73,168.81,2309.75,1754.75
2020-10-09,138.828125,174.68,135.5,169.03,2418.0,1801.5
2020-10-16,139.0625,176.07,136.61,170.14,2419.5,1733.25
2020-10-23,138.359375,175.26,135.37,169.34,2549.5,1774.75
2020-10-30,138.21875,176.15,135.68,170.11,2515.25,1812.0
2020-11-06,138.546875,176.03,135.49,170.21,2621.9,1828.25
2020-11-13,138.109375,174.94,134.75,169.54,2614.75,1875.25
2020-11-20,138.5,175.53,135.2,170.15,2785.75,2009.0
2020-11-27,138.546875,175.5,135.26,170.09,2781.5,2095.95
2020-12-04,137.8125,174.82,134.66,169.49,2735.0,2017.25
2020-12-11,138.5,178.68,136.75,168.49,2761.25,2056.5
2020-12-18,138.203125,177.66,135.89,167.74,2857.75,2031.25
2020-12-25,137.875,177.07,135.77,167.22,2826.5,1960.0
2021-01-01,138.078125,177.64,135.54,167.86,2733.33,1983.25
2021-01-08,136.65625,177.3,134.37,167.58,2790.5,1984.25
2021-01-15,136.859375,177.66,134.43,167.65,2678.0,1979.75
2021-01-22,137.03125,177.16,134.16,167.01,2700.75,2037.5
2021-01-29,137.03125,177.25,134.07,167.07,2561.5,2015.5
2021-02-05,136.6875,176.17,132.23,166.33,2648.5,2041.05
2021-02-12,136.546875,175.97,131.93,166.01,2821.75,2112.0
2021-02-19,135.453125,174.18,130.08,164.15,2869.75,2156.5
2021-02-26,133.796875,173.4,128.75,163.43,2779.5,2042.25
2021-03-05,133.453125,174.0,129.28,163.97,2754.75,1984.5
2021-03-12,132.90625,171.12,128.66,161.98,2782.25,1935.75
2021-03-19,132.359375,171.22,128.55,161.92,2827.0,1944.0
2021-03-26,131.765625,172.12,129.53,162.73,2818.75,1936.5
2021-04-02,130.953125,171.83,128.07,162.41,2760.9,1945.75
2021-04-09,131.734375,171.37,128.24,161.84,2811.5,1959.45
2021-04-16,132.375,170.91,128.44,161.53,2834.75,2027.5
2021-04-23,132.4375,170.83,128.61,161.45,2841.5,2047.25
2021-04-30,132.03125,170.0,127.67,160.49,2916.5,2144.0
2021-05-07,132.75,170.47,128.52,160.58,3000.75,2223.75
2021-05-14,132.40625,168.98,127.43,159.14,2919.75,2138.25
2021-05-21,132.4375,169.14,127.82,159.45,2959.65,2181.5
2021-05-28,132.859375,169.94,128.27,160.42,3044.55,2177.25
2021-06-04,133.125,170.33,128.31,160.74,2991.0,2114.25
2021-06-11,133.703125,172.88,129.18,159.39,3027.5,2189.5
2021-06-18,133.15625,172.6,128.72,158.57,2810.6,2149.75
2021-06-25,131.859375,171.77,128.57,158.11,2896.75,2218.5
2021-07-02,132.671875,173.09,128.28,159.49,2922.01,2321.0
2021-07-09,133.421875,173.9,128.77,159.99,2963.0,2334.5
2021-07-16,133.78125,174.87,129.12,160.93,2990.25,2311.25
2021-07-23,134.140625,175.81,129.51,161.76,2956.0,2393.5
2021-07-30,134.453125,176.57,129.79,162.08,3031.5,2407.75
2021-08-06,134.0,176.5,129.26,162.23,2976.75,2289.6
2021-08-13,133.953125,176.64,129.67,162.29,3026.75,2427.5
2021-08-20,134.125,177.15,130.29,162.69,2926.5,2273.5
2021-08-27,133.890625,175.99,129.69,161.63,2996.2,2330.75
2021-09-03,134.0,175.17,129.4,161.23,2989.5,2334.5
2021-09-10,133.765625,171.88,129.05,168.29,3109.5,2334.5
2021-09-17,133.40625,171.0,127.98,167.45,3082.25,2176.5
2021-09-24,132.015625,170.3,127.22,166.6,3126.75,2162.25
2021-10-01,132.171875,170.22,125.33,166.39,2974.85,2170.5
2021-10-08,131.140625,169.22,124.0,165.5,3147.0,2259.25
2021-10-15,130.96875,169.56,124.66,165.85,3844.5,2395.5
2021-10-22,130.34375,168.28,123.95,164.64,3483.5,2466.75
2021-10-29,130.703125,168.12,124.92,164.0,3442.25,2422.0
2021-11-05,131.828125,171.07,127.12,167.42,3269.5,2371.5
2021-11-12,130.53125,170.85,126.35,166.89,3277.5,2386.5
2021-11-19,130.875,172.32,126.78,168.44,3255.5,2221.5
2021-11-26,131.171875,172.34,127.56,168.13,3224.5,2289.0
2021-12-03,132.125,172.77,127.91,168.74,3177.75,2219.0
2021-12-10,131.09375,174.24,128.39,166.2,3352.75,2305.0
2021-12-17,131.828125,174.43,127.88,166.41,3420.75,2326.5
2021-12-24,130.546875,172.43,126.37,164.24,3556.75,2298.0
2021-12-31,130.46875,171.37,124.9,163.15,3580.0,2327.75
2022-01-07,128.296875,170.0,123.02,162.1,3560.75,2294.5
2022-01-14,128.1875,170.08,123.36,162.23,3536.5,2363.5
2022-01-21,128.3125,170.29,123.21,162.25,3672.5,2384.5
2022-01-28,127.953125,170.02,122.53,161.85,3636.5,2275.0
2022-02-04,126.765625,166.02,120.97,157.79,3621.0,2194.5
2022-02-11,126.390625,164.95,119.95,156.36,3621.5,2287.05
2022-02-18,126.671875,166.34,121.46,157.45,3588.25,2365.0
2022-02-25,126.25,166.15,121.03,157.43,3634.25,2373.75
2022-03-04,128.53125,170.96,123.61,161.51,4070.0,2457.5
2022-03-11,126.015625,162.44,120.59,154.6,3797.0,2304.32
2022-03-18,124.8125,161.37,121.01,153.8,3829.25,2242.75
2022-03-25,121.546875,158.65,119.28,151.38,4077.5,2359.25
2022-04-01,122.234375,158.35,121.19,150.78,4388.0,2451.5
2022-04-08,120.125,156.57,119.92,148.05,4293.0,2391.5
2022-04-15,119.9375,154.95,118.78,147.23,4475.0,2440.25
2022-04-22,118.9375,153.25,118.02,146.23,4471.24,2392.0
2022-04-29,119.15625,153.59,118.44,145.84,4141.25,2259.0
2022-05-06,117.796875,150.94,117.57,143.34,3786.25,2226.5
2022-05-13,119.171875,153.76,120.24,146.16,3493.5,2044.75
2022-05-20,120.125,153.93,118.88,146.15,3724.0,2183.5
2022-05-27,120.484375,153.74,118.4,146.14,3862.0,2154.0
2022-06-03,119.046875,149.63,116.44,142.19,3877.5,2164.0
2022-06-10,117.3125,146.98,113.64,136.76,3703.75,2144.25
2022-06-17,116.6875,144.3,113.7,135.21,3532.5,2061.25
2022-06-24,117.34375,147.94,116.22,138.34,3400.0,1920.75
2022-07-01,119.265625,150.85,115.97,140.61,3069.25,1946.5
2022-07-08,117.625,150.07,114.44,139.72,3161.5,1934.25
2022-07-15,118.640625,153.1,115.64,142.21,2978.0,1966.75
2022-07-22,119.890625,154.46,117.27,143.53,3048.5,2031.75
2022-07-29,121.140625,157.64,118.18,146.47,3388.26,2043.25
2022-08-05,119.375,155.94,116.66,145.17,3587.5,2085.75
2022-08-12,119.265625,155.34,115.97,144.42,3688.25,2189.75
2022-08-19,118.109375,152.17,113.09,141.66,3547.5,2046.0
2022-08-26,117.578125,149.96,111.43,139.5,3639.5,1990.5
2022-09-02,116.65625,148.33,108.47,138.54,3172.5,1888.5
2022-09-09,115.734375,143.57,106.65,137.47,3183.0,1915.25
2022-09-16,114.75,142.73,106.36,136.97,3184.5,1874.25
2022-09-23,112.625,139.48,99.91,133.6,3023.25,1797.5
2022-09-30,112.0625,138.49,96.4,132.12,3018.0,1914.5
2022-10-07,111.484375,137.67,95.11,131.29,3015.0,2111.0
2022-10-14,110.59375,136.08,93.72,129.75,2980.0,2071.5
2022-10-21,109.796875,135.12,96.86,129.2,2966.0,1907.5
2022-10-28,111.0,139.33,103.31,134.09,2854.9,1998.5
