Leader,Follower,Cat_Leader,Cat_Follower,Intra_Inter,Best_Lag,Best_Pvalue,Best_Fstat,Significant,Pvals_by_lag,Frequency,Pval_Bonferroni,Sig_Bonferroni,Pval_BH,Sig_BH,Significant_Final
BRENT_CRUDE,GOLD,Commodites,Commodites,Intra,1,0.006994,7.2851,True,"{1: 0.007, 2: 0.0214, 3: 0.051, 4: 0.0931, 5: 0.1141}",Daily,1.0,False,0.015610102409638555,True,True
NAT_GAS,EURJPY,Commodites,FX_G10,Inter,1,0.007005,7.2822,True,"{1: 0.007, 2: 0.0071, 3: 0.0098, 4: 0.0225, 5: 0.0346}",Daily,1.0,False,0.015611142857142856,True,True
EURGBP,NZDUSD,FX_G10,FX_G10,Intra,4,0.007047,3.5273,True,"{1: 0.9978, 2: 0.091, 3: 0.1748, 4: 0.007, 5: 0.0162}",Daily,1.0,False,0.01568116216216216,True,True
OAT_FRANCE,EUROSTOXX50,Bonds,Indices,Inter,3,0.007122,4.0337,True,"{1: 0.0077, 2: 0.0077, 3: 0.0071, 4: 0.0145, 5: 0.0186}",Daily,1.0,False,0.015824293853073462,True,True
USDCHF,DAX,FX_G10,Indices,Inter,2,0.00714,4.9507,True,"{1: 0.1576, 2: 0.0071, 3: 0.0184, 4: 0.0173, 5: 0.0195}",Daily,1.0,False,0.01584053892215569,True,True
AUDUSD,VIX,FX_G10,Indices,Inter,2,0.007272,4.9322,True,"{1: 0.662, 2: 0.0073, 3: 0.031, 4: 0.0219, 5: 0.0453}",Daily,1.0,False,0.0161092735426009,True,True
FTSE100,VIX,Indices,Indices,Intra,5,0.007315,3.1753,True,"{1: 0.1274, 2: 0.0318, 3: 0.0288, 4: 0.0217, 5: 0.0073}",Daily,1.0,False,0.01618034328358209,True,True
COPPER,USDJPY,Commodites,FX_G10,Inter,1,0.007339,7.1984,True,"{1: 0.0073, 2: 0.0248, 3: 0.0577, 4: 0.1101, 5: 0.1698}",Daily,1.0,False,0.01620923695976155,True,True
AUDJPY,ASX200,FX_G10,Indices,Inter,4,0.007437,3.4964,True,"{1: 0.008, 2: 0.0775, 3: 0.0704, 4: 0.0074, 5: 0.0113}",Daily,1.0,False,0.016401241071428572,True,True
RUSSELL2000,DOWJONES,Indices,Indices,Intra,3,0.007479,3.9985,True,"{1: 0.0078, 2: 0.0189, 3: 0.0075, 4: 0.0273, 5: 0.0284}",Daily,1.0,False,0.016469358098068352,True,True
GBPJPY,SP500,FX_G10,Indices,Inter,1,0.007579,7.1406,True,"{1: 0.0076, 2: 0.3248, 3: 0.5115, 4: 0.3066, 5: 0.1113}",Daily,1.0,False,0.01666480415430267,True,True
PLATINUM,NASDAQ100,Commodites,Indices,Inter,4,0.007767,3.4715,True,"{1: 0.8684, 2: 0.014, 3: 0.0092, 4: 0.0078, 5: 0.0135}",Daily,1.0,False,0.01705288,True,True
GBPUSD,PLATINUM,FX_G10,Commodites,Inter,5,0.008385,3.1093,True,"{1: 0.4226, 2: 0.6524, 3: 0.358, 4: 0.5486, 5: 0.0084}",Daily,1.0,False,0.018361914327917284,True,True
SILVER,FTSE100,Commodites,Indices,Inter,2,0.008388,4.7891,True,"{1: 0.0199, 2: 0.0084, 3: 0.0102, 4: 0.0206, 5: 0.045}",Daily,1.0,False,0.018361914327917284,True,True
GOLD,ASX200,Commodites,Indices,Inter,2,0.008488,4.7771,True,"{1: 0.0145, 2: 0.0085, 3: 0.0187, 4: 0.0328, 5: 0.0096}",Daily,1.0,False,0.018552282768777614,True,True
USDNOK,G_GILT,FX_G10,Bonds,Inter,1,0.0085,6.9346,True,"{1: 0.0085, 2: 0.0151, 3: 0.0249, 4: 0.0344, 5: 0.0583}",Daily,1.0,False,0.018552282768777614,True,True
GOLD,SILVER,Commodites,Commodites,Intra,3,0.008528,3.9037,True,"{1: 0.2927, 2: 0.0607, 3: 0.0085, 4: 0.0092, 5: 0.0169}",Daily,1.0,False,0.018586023529411768,True,True
NASDAQ100,G_GILT,Indices,Bonds,Inter,2,0.008543,4.7707,True,"{1: 0.0163, 2: 0.0085, 3: 0.0089, 4: 0.0114, 5: 0.0221}",Daily,1.0,False,0.01859137444933921,True,True
USDSEK,GOLD,FX_G10,Commodites,Inter,5,0.008564,3.099,True,"{1: 0.7207, 2: 0.0384, 3: 0.0166, 4: 0.0089, 5: 0.0086}",Daily,1.0,False,0.01860974780058651,True,True
RX_BUND,LEAD,Bonds,Commodites,Inter,1,0.008657,6.9019,True,"{1: 0.0087, 2: 0.0322, 3: 0.0495, 4: 0.06, 5: 0.0812}",Daily,1.0,False,0.018784295754026355,True,True
OAT_FRANCE,USDCHF,Bonds,FX_G10,Inter,1,0.008732,6.8865,True,"{1: 0.0087, 2: 0.0277, 3: 0.0572, 4: 0.1062, 5: 0.1779}",Daily,1.0,False,0.018919333333333333,True,True
