Leader,Follower,Cat_Leader,Cat_Follower,Best_AbsCorr,Lead_Days,Lag_Gain,Intra_Inter,Lag_Significant,Score_Lag,Granger_Significant,Score_Granger,VAR_Confirmed,Score_VAR,Score_Final,N_Methods,Robustesse
COPPER,NZDUSD,Commodites,FX_G10,0.3058,1,0.2247,Inter,True,0.44022516217121754,True,1.0,False,0.0,0.5040788067599261,2,Modérée
CAC40,AUDJPY,Indices,FX_G10,0.3322,1,0.1664,Inter,True,0.43262895960113035,True,1.0,False,0.0,0.5014201358603956,2,Modérée
GOLD,EURUSD,Commodites,FX_G10,0.2917,1,0.2343,Inter,True,0.4243907449257351,True,1.0,False,0.0,0.4985367607240072,2,Modérée
EUROSTOXX50,GBPJPY,Indices,FX_G10,0.3099,1,0.1988,Inter,True,0.42348707134127866,True,1.0,False,0.0,0.4982204749694475,2,Modérée
SILVER,USDSEK,Commodites,FX_G10,0.2825,1,0.2501,Inter,True,0.4228664294879373,True,1.0,False,0.0,0.498003250320778,2,Modérée
WTI_CRUDE,USDNOK,Commodites,FX_G10,0.2874,1,0.2408,Inter,True,0.4228611307283522,True,1.0,False,0.0,0.4980013957549232,2,Modérée
DAX,AUDJPY,Indices,FX_G10,0.3254,1,0.1541,Inter,True,0.4093565878459858,True,1.0,False,0.0,0.493274805746095,2,Modérée
FTSE100,AUDJPY,Indices,FX_G10,0.3207,1,0.1601,Inter,True,0.4066644566085682,True,1.0,False,0.0,0.49233255981299884,2,Modérée
CAC40,GBPJPY,Indices,FX_G10,0.3014,1,0.1942,Inter,True,0.4043481189771759,True,1.0,False,0.0,0.4915218416420115,2,Modérée
COPPER,AUDJPY,Commodites,FX_G10,0.2868,1,0.2136,Inter,True,0.3966888167809269,True,1.0,False,0.0,0.48884108587332437,2,Modérée
RUSSELL2000,USDSEK,Indices,FX_G10,0.2637,1,0.2469,Inter,True,0.38697668547828423,True,1.0,False,0.0,0.4854418399173994,2,Modérée
DOWJONES,USDNOK,Indices,FX_G10,0.2616,1,0.2498,Inter,True,0.3859762186396617,True,1.0,False,0.0,0.4850916765238815,2,Modérée
SILVER,USDCAD,Commodites,FX_G10,0.2797,1,0.2139,Inter,True,0.38452793288190645,True,1.0,False,0.0,0.4845847765086672,2,Modérée
PLATINUM,USDCAD,Commodites,FX_G10,0.2875,1,0.1924,Inter,True,0.37833532047050455,True,1.0,False,0.0,0.48241736216467657,2,Modérée
SP500,USDNOK,Indices,FX_G10,0.2576,1,0.2479,Inter,True,0.37721412835276974,True,1.0,False,0.0,0.48202494492346937,2,Modérée
OAT_FRANCE,EURJPY,Bonds,FX_G10,0.2664,1,0.2266,Inter,True,0.37295805559980066,True,1.0,False,0.0,0.4805353194599302,2,Modérée
SP500,USDSEK,Indices,FX_G10,0.255,1,0.244,Inter,True,0.3690574443429497,True,1.0,False,0.0,0.47917010552003236,2,Modérée
BRENT_CRUDE,AUDJPY,Commodites,FX_G10,0.2633,1,0.2278,Inter,True,0.36863568775752564,True,1.0,False,0.0,0.4790224907151339,2,Modérée
PLATINUM,GBPUSD,Commodites,FX_G10,0.2665,1,0.2209,Inter,True,0.36786886496920623,True,1.0,False,0.0,0.47875410273922214,2,Modérée
SP500,EURJPY,Indices,FX_G10,0.2517,1,0.2485,Inter,True,0.36743250649767734,True,1.0,False,0.0,0.47860137727418706,2,Modérée
BRENT_CRUDE,USDNOK,Commodites,FX_G10,0.2533,1,0.2453,Inter,True,0.36727998866105427,True,1.0,False,0.0,0.478547996031369,2,Modérée
RUSSELL2000,ASX200,Indices,Indices,0.3428,1,0.075,Intra,True,0.36678361797722153,True,1.0,False,0.0,0.4783742662920275,2,Modérée
TY_US10Y,AUDJPY,Bonds,FX_G10,0.256,1,0.2368,Inter,True,0.36415953469829876,True,1.0,False,0.0,0.47745583714440454,2,Modérée
DOWJONES,EURJPY,Indices,FX_G10,0.252,1,0.2439,Inter,True,0.3637096124827247,True,1.0,False,0.0,0.4772983643689536,2,Modérée
FTSE100,USDCAD,Indices,FX_G10,0.2799,1,0.1905,Inter,True,0.3632666608589602,True,1.0,False,0.0,0.477143331300636,2,Modérée
DAX,GBPJPY,Indices,FX_G10,0.2877,1,0.1674,Inter,True,0.35559632967932414,True,1.0,False,0.0,0.4744587153877634,2,Modérée
G_GILT,USDJPY,Bonds,FX_G10,0.2679,1,0.1963,Inter,True,0.3476014936449685,True,1.0,False,0.0,0.47166052277573894,2,Modérée
DOWJONES,USDSEK,Indices,FX_G10,0.2444,1,0.2379,Inter,True,0.34485429852758,True,1.0,False,0.0,0.47069900448465296,2,Modérée
CAC40,USDCAD,Indices,FX_G10,0.2719,1,0.1848,Inter,True,0.343987689247898,True,1.0,False,0.0,0.4703956912367643,2,Modérée
COPPER,USDSEK,Commodites,FX_G10,0.2668,1,0.1924,Inter,True,0.34207254685375355,True,1.0,False,0.0,0.4697253913988137,2,Modérée
