Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Static,Mean_1M,Std_1M,Min_1M,Max_1M,Range_1M,Mean_3M,Std_3M,Min_3M,Max_3M,Range_3M,Mean_6M,Std_6M,Min_6M,Max_6M,Range_6M,AbsCorr_Static,Stability,Stability_empirique,Score_Corr,Score_Stab,Score_Total
USDCHF,DAX,FX_G10,Indices,Inter,0.0464,0.0279,0.2457,-0.6937,0.8532,1.5469,0.0364,0.1563,-0.3462,0.5962,0.9424,0.0491,0.1266,-0.2309,0.4475,0.6783,0.0464,Moderate,Moderate,0.10920216521534477,0.7417188898836169,0.3622088550826536
WTI_CRUDE,USDSEK,Commodites,FX_G10,Inter,0.0287,-0.0001,0.2419,-0.6681,0.7039,1.372,0.0006,0.1425,-0.3377,0.4526,0.7903,0.0065,0.1074,-0.2428,0.2917,0.5345,0.0287,Stable,Moderate,0.06754530477759473,0.8034914950760967,0.36192378089699556
RX_BUND,PLATINUM,Bonds,Commodites,Inter,0.0539,0.0403,0.2472,-0.6988,0.6829,1.3817,0.0388,0.1627,-0.4393,0.5096,0.9488,0.0432,0.1213,-0.268,0.3989,0.6668,0.0539,Moderate,Moderate,0.12685337726523888,0.7130707251566696,0.3613403164218112
AUDJPY,RUSSELL2000,FX_G10,Indices,Inter,0.0211,-0.0084,0.2202,-0.6894,0.6106,1.3001,0.0095,0.1369,-0.3956,0.414,0.8096,0.0206,0.0984,-0.3248,0.2711,0.5959,0.0211,Stable,Stable,0.04965874323370205,0.8285586392121755,0.36121870162509145
BRENT_CRUDE,EURUSD,Commodites,FX_G10,Inter,-0.0239,-0.0164,0.2318,-0.6837,0.6684,1.3521,-0.0116,0.1392,-0.5351,0.3104,0.8455,-0.015,0.1008,-0.3592,0.2084,0.5675,0.0239,Stable,Stable,0.05624852906566251,0.8182632050134289,0.3610543994447691
TY_US10Y,PLATINUM,Bonds,Commodites,Inter,0.0798,0.0927,0.252,-0.595,0.8007,1.3957,0.0894,0.1836,-0.4312,0.5606,0.9917,0.0859,0.1558,-0.263,0.427,0.6899,0.0798,Moderate,Unstable,0.18780889621087313,0.6195165622202328,0.360491962614617
SILVER,USDCHF,Commodites,FX_G10,Inter,-0.0458,-0.0197,0.2429,-0.6655,0.7405,1.406,-0.0341,0.1568,-0.431,0.4067,0.8377,-0.0329,0.1128,-0.3318,0.2758,0.6076,0.0458,Moderate,Moderate,0.10779006825135326,0.7394807520143241,0.36046634175654163
EURJPY,CAC40,FX_G10,Indices,Inter,0.0736,0.0474,0.2533,-0.5733,0.7846,1.3579,0.0659,0.179,-0.3857,0.5551,0.9409,0.0857,0.1335,-0.2279,0.4325,0.6604,0.0736,Moderate,Unstable,0.17321722758296068,0.6401074306177261,0.35997330879686684
USDCAD,RUSSELL2000,FX_G10,Indices,Inter,-0.0161,-0.0063,0.2357,-0.7057,0.5991,1.3048,-0.0243,0.1338,-0.4563,0.3574,0.8137,-0.0277,0.093,-0.3553,0.1718,0.5272,0.0161,Stable,Stable,0.03789126853377265,0.8424350940017905,0.35970879872097977
WTI_CRUDE,EURUSD,Commodites,FX_G10,Inter,-0.0245,-0.021,0.2411,-0.7225,0.663,1.3855,-0.016,0.1411,-0.5163,0.3328,0.8491,-0.0187,0.1002,-0.3495,0.2831,0.6325,0.0245,Stable,Stable,0.057660626029654036,0.8097582811101164,0.358499688061839
