Date,Price,Open,High,Low,Vol.,Change %
02/03/2021,13402.3701,13555.0303,13561.4502,13400.0801,7.55B,-0.4%
02/04/2021,13560.8896,13454.8496,13563.1299,13406.4404,7.30B,1.18%
02/05/2021,13603.96,13592.7695,13642.96,13527.8096,6.79B,0.32%
02/08/2021,13695.0195,13672.3301,13698.4102,13607.96,8.56B,0.67%
02/09/2021,13687.0801,13667.1396,13741.79,13664.7002,8.77B,-0.06%
02/10/2021,13655.2695,13751.4199,13770.9102,13531.9297,10.79B,-0.23%
02/11/2021,13734.3496,13723.6299,13747.2002,13637.1904,10.92B,0.58%
02/12/2021,13807.7002,13695.9004,13816.25,13656.7803,7.42B,0.53%
02/16/2021,13773.7695,13841.0303,13879.7695,13726.7803,7.72B,-0.25%
02/17/2021,13699.71,13636.1504,13713.1396,13552.6602,7.28B,-0.54%
02/18/2021,13637.5098,13556.0098,13669.9404,13477.1699,6.50B,-0.45%
02/19/2021,13580.7803,13686.2305,13701.6904,13545.4502,6.74B,-0.42%
02/22/2021,13223.7402,13414.04,13447.3701,13220.7695,6.48B,-2.63%
02/23/2021,13194.71,12982.3604,13259.8496,12758.1201,7.52B,-0.22%
02/24/2021,13302.1904,13095.8604,13312.4297,12971.8203,5.89B,0.81%
02/25/2021,12828.3096,13197.75,13294.5596,12773.7598,6.39B,-3.56%
02/26/2021,12909.4404,12958.96,13090.3604,12764.3398,5.91B,0.63%
03/01/2021,13282.9502,13106.0195,13293.7803,13051.7002,5.08B,2.89%
03/02/2021,13059.9502,13297.7598,13301.6201,13052.1201,4.95B,-1.68%
03/03/2021,12683.3301,13020.0996,13057.29,12679.8896,5.53B,-2.88%
03/04/2021,12464.0,12655.9199,12799.0801,12314.1602,7.86B,-1.73%
03/05/2021,12668.5098,12594.1602,12700.96,12208.3896,7.73B,1.64%
03/08/2021,12299.0801,12629.5596,12718.5801,12287.5703,6.01B,-2.92%
03/09/2021,12794.4902,12635.4502,12868.5195,12592.8301,6.35B,4.03%
03/10/2021,12752.0703,12950.25,12979.3799,12726.8496,6.02B,-0.33%
03/11/2021,13052.9004,12960.5303,13117.8604,12920.0098,6.01B,2.36%
03/12/2021,12937.29,12873.3896,12943.5801,12778.1299,5.50B,-0.89%
03/15/2021,13082.54,12936.1299,13085.0098,12885.6396,5.97B,1.12%
03/16/2021,13152.2803,13156.6504,13297.4805,13091.7803,5.49B,0.53%
03/17/2021,13202.3799,13024.8301,13280.29,12950.0801,5.54B,0.38%
03/18/2021,12789.1396,13006.29,13040.3604,12781.5303,5.74B,-3.13%
03/19/2021,12866.9902,12792.6699,12906.0195,12704.0703,7.63B,0.61%
03/22/2021,13086.5098,12943.1396,13167.46,12943.1396,5.32B,1.71%
03/23/2021,13017.79,13127.1699,13180.6602,12993.5,5.68B,-0.53%
03/24/2021,12798.8799,13072.8203,13077.4902,12797.8496,6.25B,-1.68%
03/25/2021,12780.5098,12707.5801,12845.6602,12627.9297,5.63B,-0.14%
03/26/2021,12979.1201,12777.2695,12992.2998,12721.6602,5.22B,1.55%
03/29/2021,12965.7402,12950.5098,13013.4697,12836.5996,4.97B,-0.1%
03/30/2021,12896.5303,12904.0098,12929.46,12798.0303,4.72B,-0.53%
03/31/2021,13091.4404,12970.3301,13167.0596,12966.6504,5.00B,1.51%
04/01/2021,13329.5195,13268.8799,13333.4102,13255.8203,4.58B,1.82%
