Date,Price,Open,High,Low,Vol.,Change %
04/27/2021,6273.7598,6273.3599,6282.52,6255.4102,66.02M,-0.03%
04/28/2021,6306.98,6293.21,6320.1099,6283.6201,69.45M,0.53%
04/29/2021,6302.5698,6341.1201,6352.3599,6287.4399,78.83M,-0.07%
04/30/2021,6269.48,6316.3198,6320.1401,6268.8599,80.06M,-0.53%
05/03/2021,6307.8999,6285.5098,6314.9199,6252.6602,49.98M,0.61%
05/04/2021,6251.75,6319.4902,6355.8701,6238.79,85.37M,-0.89%
05/05/2021,6339.4702,6284.54,6339.4702,6275.1401,83.86M,1.4%
05/06/2021,6357.0898,6348.8999,6377.5801,6321.7202,86.38M,0.28%
05/07/2021,6385.5098,6388.9199,6390.04,6342.3701,78.61M,0.45%
05/10/2021,6385.9902,6395.3799,6395.6001,6367.04,76.55M,0.01%
05/11/2021,6267.3901,6314.27,6324.3101,6226.1099,100.70M,-1.86%
05/12/2021,6279.3501,6259.6299,6299.2402,6233.96,80.90M,0.19%
05/13/2021,6288.3301,6219.73,6303.7002,6150.4302,64.87M,0.14%
05/14/2021,6385.1401,6335.8198,6385.6699,6301.1899,66.94M,1.54%
05/17/2021,6367.3501,6397.2202,6410.21,6349.3301,62.54M,-0.28%
05/18/2021,6353.6699,6406.1802,6412.9102,6343.5498,74.13M,-0.21%
05/19/2021,6262.5498,6292.0498,6310.4902,6192.3301,92.76M,-1.43%
05/20/2021,6343.5801,6296.25,6343.5801,6267.5498,68.53M,1.29%
05/21/2021,6386.4102,6360.8799,6402.1001,6351.9502,75.86M,0.68%
05/24/2021,6408.4902,6395.96,6408.4902,6382.71,35.00M,0.35%
05/25/2021,6390.27,6416.6099,6422.8301,6390.27,59.10M,-0.28%
05/26/2021,6391.6001,6403.9502,6413.7202,6375.1401,58.34M,0.02%
05/27/2021,6435.71,6379.8301,6467.7202,6379.8301,0,0.69%
05/28/2021,6484.1099,6453.1201,6493.7202,6448.8701,64.75M,0.75%
05/31/2021,6447.1699,6483.3198,6496.3198,6441.7598,41.78M,-0.57%
06/01/2021,6489.3999,6470.4199,6521.5698,6464.71,61.10M,0.66%
06/02/2021,6521.52,6489.8999,6521.8198,6482.1001,55.39M,0.49%
06/03/2021,6507.9199,6518.5801,6522.23,6473.6699,55.26M,-0.21%
06/04/2021,6515.6602,6514.27,6517.9302,6497.3901,51.80M,0.12%
06/07/2021,6543.5601,6509.98,6560.3901,6485.7998,57.85M,0.43%
06/08/2021,6551.0098,6545.6899,6574.21,6540.71,65.45M,0.11%
06/09/2021,6563.4502,6561.9302,6570.8198,6533.3701,61.45M,0.19%
06/10/2021,6546.4902,6574.5898,6574.5898,6526.23,75.22M,-0.26%
06/11/2021,6600.6602,6550.2998,6607.6099,6549.8301,68.90M,0.83%
06/14/2021,6616.3501,6625.5498,6650.1602,6599.27,64.52M,0.24%
06/15/2021,6639.52,6643.4199,6655.6602,6634.4502,67.45M,0.35%
06/16/2021,6652.6499,6657.52,6659.3799,6632.3599,69.89M,0.2%
06/17/2021,6666.2598,6636.7002,6674.3701,6631.6299,70.68M,0.2%
06/18/2021,6569.1602,6657.23,6687.29,6560.1201,170.61M,-1.46%
06/21/2021,6602.54,6525.0298,6607.9902,6511.9302,78.94M,0.51%
06/22/2021,6611.5,6609.98,6622.2002,6583.5,65.10M,0.14%
06/23/2021,6551.0698,6616.73,6619.02,6551.0698,70.38M,-0.91%
06/24/2021,6631.1499,6576.0698,6639.8301,6572.8101,74.43M,1.22%
06/25/2021,6622.8701,6637.6802,6641.8999,6604.8599,0,-0.12%
