Leader,Follower,Optimal_Lag,Granger_P,Granger_Lag,Cross_Corr,Leadership_Score
VIX,NASDAQ100,0,0.014298968623629865,1,-0.6569144336781917,0.0
VIX,RUSSELL2000,0,0.009016709420850552,3,-0.5959438795708923,0.0
RUSSELL2000,NASDAQ100,0,0.000569213031348531,1,0.7226373120171298,0.0
RUSSELL2000,SP500,0,0.00021613235449947511,2,0.8314965846305411,0.0
RUSSELL2000,DAX,0,7.948621103299052e-26,1,0.46496800478046624,0.0
NIKKEI225,EUROSTOXX50,-1,0.0032435456804191802,4,0.36043886682568005,0.0
HANGSENG,FTSE100,0,0.03338794339332727,3,0.34119585004284836,0.0
HANGSENG,NIKKEI225,0,2.1014442646807452e-08,2,0.3349804393998362,0.0
HANGSENG,EUROSTOXX50,0,0.000595646479018528,3,0.32246777463541704,0.0
NIKKEI225,AUDJPY,0,9.252358116108209e-33,3,0.39263761955407545,0.0
NIKKEI225,GBPJPY,0,4.983875466354504e-19,1,0.31985949671870595,0.0
NIKKEI225,ASX200,0,0.005666231005907911,5,0.47772756929685717,0.0
NIKKEI225,HANGSENG,0,0.000911098945395171,1,0.3349804393998362,0.0
NASDAQ100,CAC40,0,6.2986427235643595e-25,1,0.39727758325739854,0.0
RUSSELL2000,FTSE100,0,5.755852740360338e-32,1,0.41330074448674564,0.0
NASDAQ100,FTSE100,0,1.980995608420573e-25,1,0.3204885431587212,0.0
NASDAQ100,DAX,0,4.890301090012995e-25,1,0.4138572947168034,0.0
NASDAQ100,SP500,0,0.031087772879018934,2,0.8803236838522048,0.0
NASDAQ100,EUROSTOXX50,0,5.309998101481509e-28,1,0.41611493421590356,0.0
NASDAQ100,VIX,0,0.02003685382073057,2,-0.6569144336781917,0.0
RUSSELL2000,DOWJONES,0,0.0013216762347762106,2,0.7479663957874456,0.0
RUSSELL2000,CAC40,0,6.738931652249818e-28,1,0.4808776178067259,0.0
DOWJONES,FTSE100,0,1.6357177837187377e-25,4,0.5021887337572745,0.0
ASX200,NIKKEI225,0,5.1063665508405344e-08,5,0.4777275692968571,0.0
TY_US10Y,G_GILT,0,5.119661066728156e-21,4,0.502277042518592,0.0
BRENT_CRUDE,WTI_CRUDE,0,2.916604627562158e-24,5,0.7020352255583967,0.0
EURCHF,USDCHF,0,0.025428160889112858,1,0.5520618380079245,0.0
EURGBP,GBPJPY,0,0.0057888193329026175,2,-0.5568568937941153,0.0
EURUSD,EURJPY,0,0.04676709098288215,5,0.4096623377340385,0.0
EURUSD,GBPUSD,0,0.006354779814912567,4,0.5813434104255992,0.0
EURUSD,USDJPY,0,0.0009454808414719263,1,-0.41575630645933814,0.0
GBPJPY,EURGBP,0,0.03512010144589927,1,-0.5568568937941153,0.0
GBPJPY,EURJPY,0,0.0041280853251907095,2,0.7057308681130665,0.0
GBPJPY,GBPUSD,0,0.0010144957673669794,3,0.5545393380031105,0.0
GBPJPY,NIKKEI225,0,0.00028794622447284436,1,0.31985949671870595,0.0
GBPUSD,AUDUSD,0,0.023364575442306246,5,0.5298412784151348,0.0
GBPUSD,USDNOK,0,0.006020018071685603,5,-0.5217536104513968,0.0
GOLD,PLATINUM,0,0.0018283162883095442,3,0.5279176777455148,0.0
GOLD,SILVER,0,0.005861866569675829,3,0.6682787422876615,0.0
COPPER,ZINC,0,0.002021763929017496,1,0.4897263281039712,0.0
COPPER,LEAD,0,0.016799792718712413,2,0.3548330309533917,0.0
COPPER,PLATINUM,0,0.006528107864043071,1,0.3434731561133004,0.0
NZDUSD,AUDUSD,0,0.03613289107066992,2,0.8202460837045303,0.0
WTI_CRUDE,BRENT_CRUDE,0,5.142342710546605e-16,5,0.7020352255583967,0.0
AUDUSD,USDSEK,0,0.025816203843561814,1,-0.5839462774335794,0.0
