Asset1,Asset2,Cat1,Cat2,Intra_Inter,Corr_Lag0,Corr_Lag-5,Corr_Lag-4,Corr_Lag-3,Corr_Lag-2,Corr_Lag-1,Corr_Lag+1,Corr_Lag+2,Corr_Lag+3,Corr_Lag+4,Corr_Lag+5,Best_Lag,Best_Corr,Best_AbsCorr,Leader,Follower,Lead_Days,Lag_Gain
RX_BUND,AUDJPY,Bonds,FX_G10,Inter,-0.0431,-0.0281,0.0046,0.0152,-0.016,0.0065,-0.1849,-0.0115,-0.0053,0.0072,0.0135,1,-0.1849,0.1849,RX_BUND,AUDJPY,1,0.1418
RX_BUND,AUDUSD,Bonds,FX_G10,Inter,0.0194,-0.024,-0.0034,0.0296,0.0138,0.0172,0.0245,-0.0048,0.0084,0.0032,0.0232,-3,0.0296,0.0296,AUDUSD,RX_BUND,3,0.0102
RX_BUND,BRENT_CRUDE,Bonds,Commodites,Inter,-0.0934,0.0462,0.0014,-0.0208,0.0003,-0.0195,-0.0033,0.0048,0.0204,0.0409,0.0208,0,-0.0934,0.0934,Contemporain,Contemporain,0,0.0
RX_BUND,WTI_CRUDE,Bonds,Commodites,Inter,-0.0849,0.0317,0.0111,-0.0313,-0.0061,-0.0189,0.0024,0.0143,0.0322,0.0355,0.02,0,-0.0849,0.0849,Contemporain,Contemporain,0,0.0
RX_BUND,EURCHF,Bonds,FX_G10,Inter,-0.0281,-0.0346,-0.0338,0.0077,0.0116,-0.0077,-0.1331,-0.0017,0.0062,-0.0083,-0.0332,1,-0.1331,0.1331,RX_BUND,EURCHF,1,0.105
RX_BUND,EURGBP,Bonds,FX_G10,Inter,-0.0469,0.0202,-0.0134,0.0224,-0.0096,-0.0064,-0.0489,0.0032,-0.0022,0.0111,0.0338,1,-0.0489,0.0489,RX_BUND,EURGBP,1,0.002
RX_BUND,EURJPY,Bonds,FX_G10,Inter,-0.0523,-0.0172,-0.0087,-0.0128,-0.0204,0.0081,-0.3207,0.007,-0.0032,-0.0133,-0.0248,1,-0.3207,0.3207,RX_BUND,EURJPY,1,0.2684
RX_BUND,EURUSD,Bonds,FX_G10,Inter,0.0264,-0.0085,-0.0256,0.0058,0.0145,0.0226,-0.0631,0.0212,0.0141,-0.0209,-0.0183,1,-0.0631,0.0631,RX_BUND,EURUSD,1,0.0367
RX_BUND,GBPJPY,Bonds,FX_G10,Inter,-0.0217,-0.0244,-0.0068,-0.0239,-0.0176,0.0194,-0.2226,0.0085,-0.0104,0.0027,-0.028,1,-0.2226,0.2226,RX_BUND,GBPJPY,1,0.2009
RX_BUND,GBPUSD,Bonds,FX_G10,Inter,0.0458,-0.0219,-0.0194,-0.013,0.0114,0.0384,-0.0049,0.0214,0.002,-0.0025,-0.0234,0,0.0458,0.0458,Contemporain,Contemporain,0,0.0
