sigma,tp,sl,hold,n_trades,mean_ret,win_rate,score
1.25,1.5,1.5,15,2618,-0.00158612,0.4824,-0.040593
2.5,3.0,2.0,7,412,-0.001835,0.449,-0.040761
1.25,3.0,1.0,10,2516,-0.00164242,0.3875,-0.040965
2.0,3.0,2.5,15,759,-0.00222988,0.4493,-0.041308
1.5,3.0,1.0,15,1747,-0.00176965,0.3537,-0.041483
1.75,3.0,2.5,15,1053,-0.00219676,0.4425,-0.041494
1.25,3.0,2.0,20,2117,-0.00200637,0.4265,-0.041615
2.5,1.5,1.0,7,437,-0.00147715,0.4462,-0.041696
2.5,1.5,2.5,7,420,-0.00171818,0.5214,-0.041812
1.25,1.5,2.0,15,2468,-0.00170577,0.5036,-0.041838
2.5,2.5,1.5,15,425,-0.00188919,0.4094,-0.041849
1.25,3.0,1.0,7,2588,-0.00159032,0.4131,-0.041882
1.25,3.0,1.0,20,2449,-0.00176246,0.365,-0.042109
1.75,1.5,2.5,20,1190,-0.00192607,0.5345,-0.042406
1.25,2.5,1.0,10,2591,-0.00167299,0.3937,-0.042692
2.5,3.0,1.5,20,420,-0.00204451,0.3762,-0.042923
2.5,1.5,1.0,5,437,-0.00150173,0.4462,-0.042962
1.25,3.0,2.0,10,2234,-0.00194214,0.4423,-0.043192
1.5,3.0,2.5,15,1496,-0.00223462,0.4445,-0.043229
2.5,1.5,2.0,10,426,-0.00176052,0.5094,-0.043283
1.5,1.5,1.0,10,1969,-0.00154472,0.4342,-0.043296
2.5,1.5,1.5,15,436,-0.00171785,0.4839,-0.043542
1.25,2.5,1.0,20,2535,-0.00177143,0.3759,-0.043675
1.25,3.0,1.5,7,2427,-0.00177149,0.4475,-0.043899
1.5,3.0,2.0,15,1558,-0.00218694,0.4352,-0.043976
2.0,3.0,2.5,20,747,-0.0024608,0.4458,-0.044071
2.5,2.0,1.0,10,432,-0.00171572,0.412,-0.044243
1.25,2.5,1.0,7,2646,-0.00167559,0.4176,-0.044658
2.5,3.0,1.5,15,420,-0.00210135,0.3881,-0.044888
2.5,2.5,1.0,7,428,-0.00178419,0.4019,-0.045144
1.75,1.5,1.0,20,1332,-0.00169986,0.4219,-0.045679
2.5,3.0,1.5,10,421,-0.00207135,0.4062,-0.045857
2.0,1.5,2.5,15,840,-0.00208073,0.544,-0.046144
2.5,3.0,1.0,7,424,-0.00186623,0.3939,-0.046496
2.0,1.5,2.5,20,835,-0.00216759,0.5425,-0.046804
1.75,1.5,1.0,15,1332,-0.001742,0.4219,-0.046899
1.25,2.5,1.0,15,2544,-0.00189335,0.3774,-0.04699
1.5,3.0,2.0,10,1601,-0.00220304,0.4491,-0.047009
1.5,3.0,1.0,7,1815,-0.0018672,0.3939,-0.047383
1.25,2.5,2.0,20,2196,-0.0022095,0.4413,-0.047434
1.25,2.5,2.0,7,2372,-0.00196236,0.4696,-0.047528
1.25,2.0,1.0,10,2688,-0.00179723,0.4118,-0.048235
2.5,1.5,1.5,10,436,-0.00188911,0.4794,-0.048409
2.5,1.5,2.0,15,426,-0.00202407,0.5188,-0.048477
